教授ID,教授名稱,DEPT,School
700001,范欽雄,CSIE,NTUST
700002,劉一宇,CSIE,NTUST
700003,鮑興國,CSIE,NTUST
700004,項天瑞,CSIE,NTUST
700005,沈上翔,CSIE,NTUST
700006,吳怡樂,CSIE,NTUST
700007,黃元欣,CSIE,NTUST
700008,鄭欣明,CSIE,NTUST
700009,花凱龍,CSIE,NTUST
700010,戴文凱,CSIE,NTUST
800001,王才沛,CSIE,NCTU
800002,彭文志,CSIE,NCTU
800003,曾新穆,CSIE,NCTU
800004,林文杰,CSIE,NCTU
800005,蔡錫鈞,CSIE,NCTU
800006,趙禧綠,CSIE,NCTU
800007,林志青,CSIE,NCTU
800008,李毅郎,CSIE,NCTU
800009,林巨益,CSIE,NCTU
800010,莊仁輝,CSIE,NCTU
800011,吳毅成,CSIE,NCTU
800012,林盈達,CSIE,NCTU
800013,黃世強,CSIE,NCTU
800014,楊武,CSIE,NCTU
800015,孫春在,CSIE,NCTU
800016,曾文貴,CSIE,NCTU
800017,蕭子健,CSIE,NCTU
800018,王蒞君,CSIE,NCTU
800019,易志偉,CSIE,NCTU
800020,陳穎平,CSIE,NCTU
800021,莊庭瑞,CSIE,NCTU
800022,林奕成,CSIE,NCTU
800023,陳冠文,CSIE,NCTU
800024,李育杰,CSIE,NCTU
900001,呂學一,CSIE,NTU
900002,蕭旭君,CSIE,NTU
900003,鄭卜壬,CSIE,NTU
900004,周承復,CSIE,NTU
900005,陳偉松,CSIE,NTU
900006,洪士灝,CSIE,NTU
900007,徐慰中,CSIE,NTU
900008,陳縕儂,CSIE,NTU
900009,許永真,CSIE,NTU
900010,施吉昇,CSIE,NTU
900011,林風,CSIE,NTU
900012,趙坤茂,CSIE,NTU
900013,李允中,CSIE,NTU
900014,傅揪善,CSIE,NTU
900015,傅立成,CSIE,NTU
900016,劉長遠,CSIE,NTU
900017,顏文明,CSIE,NTU
900018,歐陽明,CSIE,NTU
900019,張瑞峰,CSIE,NTU
900020,洪一平,CSIE,NTU
900021,陳彥仰,CSIE,NTU
900022,徐讚昇,CSIE,NTU
900023,童怡新,CSIE,NTU
900024,卓政宏,CSIE,NTU
800025,陳志成,CSIE,NCTU
900025,蔡仁松,CS,NTHU
900026,陳煥宗,CS,NTHU
900027,吳尚鴻,CS,NTHU
900028,周志遠,CS,NTHU
900029,胡龍融,CS,NTHU
900030,黃婷婷,CS,NTHU
900031,張智星,CS,NTHU
900032,黃能富,CS,NTHU
900033,周百祥,CS,NTHU
900034,李政崑,CS,NTHU
900035,王家祥,CS,NTHU
900036,李濬屹,CS,NTHU
900037,盧錦隆,CS,NTHU
900038,黃慶育,CS,NTHU
900039,蘇豐文,CS,NTHU
900040,李端興,CS,NTHU
900041,蔡明哲,CS,NTHU
900042,麥偉基,CS,NTHU
900043,李哲榮,CS,NTHU
900044,何宗易,CS,NTHU
900045,李家同,CS,NTHU
900046,孫宏民,CS,NTHU
900047,張俊盛,CS,NTHU
900048,金仲達,CS,NTHU
900049,石維寬,CS,NTHU
,,,
,,,
,,,
